Month Start Date,Mean FNG Value
2020-01-01,53.25
2020-02-01,54.416666666666664
2020-03-01,53.333333333333336
2020-04-01,50.333333333333336
2020-05-01,49.916666666666664
2020-06-01,53.416666666666664
2020-07-01,53.583333333333336
2020-08-01,54.5
2020-09-01,52.666666666666664
2020-10-01,52.083333333333336
2020-11-01,52.083333333333336
2020-12-01,49.416666666666664
2021-01-01,55.416666666666664
2021-02-01,59.416666666666664
2021-03-01,59.083333333333336
2021-04-01,60.0
2021-05-01,58.0
2021-06-01,59.916666666666664
2021-07-01,62.833333333333336
2021-08-01,60.666666666666664
2021-09-01,61.75
2021-10-01,60.333333333333336
2021-11-01,58.25
2021-12-01,60.166666666666664
2022-01-01,27.333333333333332
2022-02-01,29.416666666666668
2022-03-01,26.666666666666668
2022-04-01,25.25
2022-05-01,27.583333333333332
2022-06-01,26.583333333333332
2022-07-01,26.25
2022-08-01,25.083333333333332
2022-09-01,26.333333333333332
2022-10-01,26.0
2022-11-01,26.083333333333332
2022-12-01,23.75
2023-01-01,53.75
2023-02-01,54.75
2023-03-01,54.833333333333336
2023-04-01,55.333333333333336
2023-05-01,54.5
2023-06-01,53.333333333333336
2023-07-01,53.583333333333336
2023-08-01,54.166666666666664
2023-09-01,52.0
2023-10-01,51.166666666666664
2023-11-01,51.166666666666664
2023-12-01,50.583333333333336
2024-01-01,59.4
2024-02-01,58.5
2024-03-01,55.5
2024-04-01,58.333333333333336
2024-05-01,58.77777777777778
2024-06-01,55.333333333333336
2024-07-01,57.666666666666664
2024-08-01,56.333333333333336
2024-09-01,60.333333333333336
2024-10-01,60.333333333333336
2024-11-01,59.666666666666664
2024-12-01,70.09677419354838
